window_start,window_end,datetime,elapsed_seconds,request_count,success_count,failure_count,throughput_rps,success_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
1766871026.4661674,1766871027.4661674,2025-12-27T23:30:26.466167,18,30,30,0,30.0,1.0,2.3280700047810874,1.5146732330322266,6.55817985534668,10.734319686889648
1766871027.4661674,1766871028.4661674,2025-12-27T23:30:27.466167,19,29,29,0,29.0,1.0,1.2341203360721982,1.3470649719238281,2.007722854614258,2.012014389038086
1766871028.4661674,1766871029.4661674,2025-12-27T23:30:28.466167,20,29,29,0,29.0,1.0,6.563795023951037,5.102872848510742,15.431880950927734,17.666101455688477
1766871029.4661674,1766871030.4661674,2025-12-27T23:30:29.466167,21,30,30,0,30.0,1.0,1.0006904602050781,1.01470947265625,1.5206336975097656,1.947641372680664
1766871030.4661674,1766871031.4661674,2025-12-27T23:30:30.466167,22,29,25,4,29.0,0.8620689655172413,1.0708904266357422,1.0175704956054688,1.6627311706542969,2.263307571411133
1766871031.4661674,1766871032.4661674,2025-12-27T23:30:31.466167,23,22,0,22,22.0,0.0,0.0,0.0,0.0,0.0
1766871032.4661674,1766871033.4661674,2025-12-27T23:30:32.466167,24,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1766871033.4661674,1766871034.4661674,2025-12-27T23:30:33.466167,25,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1766871034.4661674,1766871035.4661674,2025-12-27T23:30:34.466167,26,29,28,1,29.0,0.9655172413793104,1.0292785508292062,1.0080337524414062,2.008676528930664,2.012968063354492
1766871035.4661674,1766871036.4661674,2025-12-27T23:30:35.466167,27,29,29,0,29.0,1.0,1.4191495961156384,1.5141963958740234,2.089977264404297,2.44140625
1766871036.4661674,1766871037.4661674,2025-12-27T23:30:36.466167,28,30,30,0,30.0,1.0,0.9604056676228842,1.0082721710205078,2.2089481353759766,2.941131591796875
1766871037.4661674,1766871038.4661674,2025-12-27T23:30:37.466167,29,29,29,0,29.0,1.0,1.4662578188139817,1.3985633850097656,2.0101070404052734,2.0112991333007812
1766871038.4661674,1766871039.4661674,2025-12-27T23:30:38.466167,30,29,29,0,29.0,1.0,1.4944734244511044,1.4743804931640625,2.253293991088867,2.3446083068847656
1766871039.4661674,1766871040.4661674,2025-12-27T23:30:39.466167,31,29,29,0,29.0,1.0,1.3307045245992726,1.4154911041259766,2.0084381103515625,2.0110607147216797
1766871040.4661674,1766871041.4661674,2025-12-27T23:30:40.466167,32,30,30,0,30.0,1.0,1.1803229649861653,1.0173320770263672,2.007007598876953,2.007722854614258
1766871041.4661674,1766871042.4661674,2025-12-27T23:30:41.466167,33,29,29,0,29.0,1.0,2.035535615066002,1.1603832244873047,6.384611129760742,16.188859939575195
1766871042.4661674,1766871043.4661674,2025-12-27T23:30:42.466167,34,28,28,0,28.0,1.0,10.367512702941895,7.259845733642578,27.337074279785156,62.88719177246094
1766871043.4661674,1766871044.4661674,2025-12-27T23:30:43.466167,35,27,27,0,27.0,1.0,14.00623498139558,4.579067230224609,61.42473220825195,76.65657997131348
1766871044.4661674,1766871045.4661674,2025-12-27T23:30:44.466167,36,21,21,0,21.0,1.0,23.341519492013113,5.125761032104492,139.09101486206055,204.5292854309082
1766871045.4661674,1766871046.4661674,2025-12-27T23:30:45.466167,37,29,29,0,29.0,1.0,0.7212573084337958,1.0068416595458984,1.5146732330322266,2.0895004272460938
1766871046.4661674,1766871047.4661674,2025-12-27T23:30:46.466167,38,29,29,0,29.0,1.0,1.1906870480241447,1.2819766998291016,1.7812252044677734,1.8053054809570312
1766871047.4661674,1766871048.4661674,2025-12-27T23:30:47.466167,39,29,29,0,29.0,1.0,1.4153020135287582,1.5125274658203125,1.8434524536132812,2.0110607147216797
1766871048.4661674,1766871049.4661674,2025-12-27T23:30:48.466167,40,29,29,0,29.0,1.0,1.4448494746767242,1.4464855194091797,2.5157928466796875,4.259586334228516
1766871049.4661674,1766871050.4661674,2025-12-27T23:30:49.466167,41,30,30,0,30.0,1.0,1.3604323069254558,1.4231204986572266,2.0101070404052734,2.0575523376464844
1766871050.4661674,1766871051.4661674,2025-12-27T23:30:50.466167,42,29,29,0,29.0,1.0,1.3694598756987473,1.5113353729248047,2.0112991333007812,2.014636993408203
1766871051.4661674,1766871052.4661674,2025-12-27T23:30:51.466167,43,30,30,0,30.0,1.0,1.3794342676798503,1.5130043029785156,2.0074844360351562,2.0143985748291016
1766871052.4661674,1766871053.4661674,2025-12-27T23:30:52.466167,44,29,29,0,29.0,1.0,1.5018561790729392,1.514434814453125,2.0093917846679688,2.5141239166259766
1766871053.4661674,1766871054.4661674,2025-12-27T23:30:53.466167,45,29,29,0,29.0,1.0,1.4082316694588497,1.5130043029785156,2.012968063354492,2.042531967163086
1766871054.4661674,1766871055.4661674,2025-12-27T23:30:54.466167,46,30,30,0,30.0,1.0,1.6844669977823894,1.489877700805664,2.061128616333008,7.5206756591796875
1766871055.4661674,1766871056.4661674,2025-12-27T23:30:55.466167,47,29,29,0,29.0,1.0,1.9748539760194976,1.51824951171875,7.209300994873047,10.512828826904297
1766871056.4661674,1766871057.4661674,2025-12-27T23:30:56.466167,48,29,29,0,29.0,1.0,1.3582624238112877,1.458883285522461,2.009153366088867,2.0101070404052734
1766871057.4661674,1766871058.4661674,2025-12-27T23:30:57.466167,49,30,30,0,30.0,1.0,1.3074477513631184,1.5118122100830078,1.8458366394042969,2.0084381103515625
1766871058.4661674,1766871059.4661674,2025-12-27T23:30:58.466167,50,29,29,0,29.0,1.0,1.4552083508721714,1.5134811401367188,2.095460891723633,3.0074119567871094
1766871059.4661674,1766871060.4661674,2025-12-27T23:30:59.466167,51,29,29,0,29.0,1.0,1.2766657204463565,1.1196136474609375,1.8274784088134766,1.9865036010742188
1766871060.4661674,1766871061.4661674,2025-12-27T23:31:00.466167,52,30,30,0,30.0,1.0,1.2995481491088867,1.477956771850586,1.6672611236572266,1.6925334930419922
1766871061.4661674,1766871062.4661674,2025-12-27T23:31:01.466167,53,29,29,0,29.0,1.0,1.4661673841805294,1.5130043029785156,2.0089149475097656,2.0105838775634766
1766871062.4661674,1766871063.4661674,2025-12-27T23:31:02.466167,54,29,29,0,29.0,1.0,1.4460086822509766,1.5125274658203125,2.0074844360351562,2.0074844360351562
1766871063.4661674,1766871064.4661674,2025-12-27T23:31:03.466167,55,30,30,0,30.0,1.0,1.2675364812215169,1.4405250549316406,1.943826675415039,2.0067691802978516
1766871064.4661674,1766871065.4661674,2025-12-27T23:31:04.466167,56,29,29,0,29.0,1.0,1.4240248449917496,1.5103816986083984,2.0897388458251953,4.153728485107422
1766871065.4661674,1766871066.4661674,2025-12-27T23:31:05.466167,57,29,29,0,29.0,1.0,1.3470320866025727,1.5099048614501953,2.254486083984375,2.384662628173828
1766871066.4661674,1766871067.4661674,2025-12-27T23:31:06.466167,58,30,30,0,30.0,1.0,1.3616402943929036,1.5134811401367188,2.026081085205078,2.1827220916748047
1766871067.4661674,1766871068.4661674,2025-12-27T23:31:07.466167,59,29,29,0,29.0,1.0,1.2966599957696323,1.4197826385498047,1.9104480743408203,2.563953399658203
1766871068.4661674,1766871069.4661674,2025-12-27T23:31:08.466167,60,29,29,0,29.0,1.0,1.5172218454295192,1.5132427215576172,2.0112991333007812,5.01704216003418
1766871069.4661674,1766871070.4661674,2025-12-27T23:31:09.466167,61,30,30,0,30.0,1.0,1.589814821879069,1.5134811401367188,2.607583999633789,6.52313232421875
1766871070.4661674,1766871071.4661674,2025-12-27T23:31:10.466167,62,29,29,0,29.0,1.0,1.4356909127070987,1.5125274658203125,2.008199691772461,2.2368431091308594
1766871071.4661674,1766871072.4661674,2025-12-27T23:31:11.466167,63,29,29,0,29.0,1.0,1.4601000424089103,1.5120506286621094,2.008676528930664,2.533435821533203
1766871072.4661674,1766871073.4661674,2025-12-27T23:31:12.466167,64,30,30,0,30.0,1.0,1.6216595967610676,1.51824951171875,2.0923614501953125,2.5157928466796875
1766871073.4661674,1766871074.4661674,2025-12-27T23:31:13.466167,65,29,29,0,29.0,1.0,1.3950610982960667,1.512765884399414,2.00653076171875,2.016305923461914
1766871074.4661674,1766871075.4661674,2025-12-27T23:31:14.466167,66,29,29,0,29.0,1.0,1.4435505044871364,1.512765884399414,2.012491226196289,2.0143985748291016
1766871075.4661674,1766871076.4661674,2025-12-27T23:31:15.466167,67,30,30,0,30.0,1.0,1.4957427978515625,1.512765884399414,2.0105838775634766,3.0100345611572266
1766871076.4661674,1766871077.4661674,2025-12-27T23:31:16.466167,68,29,29,0,29.0,1.0,1.3282463468354324,1.4698505401611328,2.0079612731933594,2.0198822021484375
1766871077.4661674,1766871078.4661674,2025-12-27T23:31:17.466167,69,29,29,0,29.0,1.0,1.4012106533708244,1.5153884887695312,2.0096302032470703,2.009868621826172
1766871078.4661674,1766871079.4661674,2025-12-27T23:31:18.466167,70,29,29,0,29.0,1.0,1.4261541695430362,1.5118122100830078,2.022981643676758,2.077341079711914
1766871079.4661674,1766871080.4661674,2025-12-27T23:31:19.466167,71,30,30,0,30.0,1.0,1.377693812052409,1.5125274658203125,1.9230842590332031,2.0096302032470703
1766871080.4661674,1766871081.4661674,2025-12-27T23:31:20.466167,72,29,29,0,29.0,1.0,1.4442904242153825,1.5141963958740234,2.017974853515625,2.198457717895508
1766871081.4661674,1766871082.4661674,2025-12-27T23:31:21.466167,73,29,29,0,29.0,1.0,1.3331298170418575,1.5120506286621094,2.010822296142578,2.0203590393066406
1766871082.4661674,1766871083.4661674,2025-12-27T23:31:22.466167,74,30,30,0,30.0,1.0,1.3294537862141926,1.512289047241211,2.0072460174560547,2.010822296142578
1766871083.4661674,1766871084.4661674,2025-12-27T23:31:23.466167,75,29,29,0,29.0,1.0,1.4729417603591393,1.4734268188476562,2.3636817932128906,3.8576126098632812
1766871084.4661674,1766871085.4661674,2025-12-27T23:31:24.466167,76,29,29,0,29.0,1.0,2.1917408910290948,1.516580581665039,2.0112991333007812,22.878408432006836
1766871085.4661674,1766871086.4661674,2025-12-27T23:31:25.466167,77,30,30,0,30.0,1.0,1.4745314915974934,1.5189647674560547,2.0079612731933594,2.0084381103515625
1766871086.4661674,1766871087.4661674,2025-12-27T23:31:26.466167,78,29,29,0,29.0,1.0,1.3827702094768655,1.512289047241211,2.009868621826172,2.0339488983154297
1766871087.4661674,1766871088.4661674,2025-12-27T23:31:27.466167,79,28,28,0,28.0,1.0,1.4104161943708147,1.4214515686035156,2.114534378051758,3.0117034912109375
1766871088.4661674,1766871089.4661674,2025-12-27T23:31:28.466167,80,30,30,0,30.0,1.0,2.198195457458496,1.4581680297851562,3.455638885498047,24.10149574279785
1766871089.4661674,1766871090.4661674,2025-12-27T23:31:29.466167,81,29,29,0,29.0,1.0,1.2672194119157463,1.0654926300048828,2.023935317993164,2.080678939819336
1766871090.4661674,1766871091.4661674,2025-12-27T23:31:30.466167,82,29,29,0,29.0,1.0,1.4185576603330414,1.5141963958740234,2.0105838775634766,2.0110607147216797
