request_id,timestamp,datetime,latency_ms,success,replica_id,error_message
0,1766871008.4661674,2025-12-27T23:30:08.466167,0.9984970092773438,True,native-replica-1,
1,1766871008.5005245,2025-12-27T23:30:08.500525,1.0061264038085938,True,native-replica-1,
2,1766871008.5347023,2025-12-27T23:30:08.534702,1.0135173797607422,True,native-replica-1,
3,1766871008.5692594,2025-12-27T23:30:08.569259,1.5130043029785156,True,native-replica-1,
4,1766871008.602987,2025-12-27T23:30:08.602987,1.7604827880859375,True,native-replica-1,
5,1766871008.6364017,2025-12-27T23:30:08.636402,1.5265941619873047,True,native-replica-1,
6,1766871008.6704664,2025-12-27T23:30:08.670466,1.6999244689941406,True,native-replica-1,
7,1766871008.7041583,2025-12-27T23:30:08.704158,1.5106201171875,True,native-replica-1,
8,1766871008.7384517,2025-12-27T23:30:08.738452,1.0094642639160156,True,native-replica-1,
9,1766871008.7727692,2025-12-27T23:30:08.772769,1.0068416595458984,True,native-replica-1,
10,1766871008.8075097,2025-12-27T23:30:08.807510,0.8602142333984375,True,native-replica-1,
11,1766871008.8422353,2025-12-27T23:30:08.842235,1.857757568359375,True,native-replica-1,
12,1766871008.8762128,2025-12-27T23:30:08.876213,1.0058879852294922,True,native-replica-1,
13,1766871008.9104013,2025-12-27T23:30:08.910401,1.0056495666503906,True,native-replica-1,
14,1766871008.9448876,2025-12-27T23:30:08.944888,1.005411148071289,True,native-replica-1,
15,1766871008.9792995,2025-12-27T23:30:08.979300,0.9896755218505859,True,native-replica-1,
16,1766871009.0129733,2025-12-27T23:30:09.012973,1.5120506286621094,True,native-replica-1,
17,1766871009.0468996,2025-12-27T23:30:09.046900,1.1844635009765625,True,native-replica-1,
18,1766871009.0807633,2025-12-27T23:30:09.080763,0.6756782531738281,True,native-replica-1,
19,1766871009.1142347,2025-12-27T23:30:09.114235,1.7015933990478516,True,native-replica-1,
20,1766871009.147969,2025-12-27T23:30:09.147969,0.5214214324951172,True,native-replica-1,
21,1766871009.181398,2025-12-27T23:30:09.181398,1.0063648223876953,True,native-replica-1,
22,1766871009.2156465,2025-12-27T23:30:09.215647,1.5873908996582031,True,native-replica-1,
23,1766871009.2497025,2025-12-27T23:30:09.249702,1.522064208984375,True,native-replica-1,
